bar_code, sifra, cijena
3859892365448,00014630,ARANZMAN JASMIN DALAS=46.99
3859892365295,00014633,ARANZMAN KALA DALAS=67.99
3859892365264,00014637,ARANZMAN LADA DALAS=77.99
3859892365349,00014628,ARANZMAN LEA DALAS=39.99
3859892365462,00015099,ARANZMAN LENA=31.29
3859892365288,00015414,ARANZMAN LILI=56.99
3859892365288,00014632,ARANZMAN LILI DALAS=56.99
3859892365417,00015104,ARANZMAN LORA=65.69
3859892365608,00015096,ARANZMAN LOVRO=7.99
3859892814977,00015476,ARANZMAN MIRISNI 84=48.99
3859892365486,00015100,ARANZMAN NENSI=54.90
3859892365431,00015098,ARANZMAN NORA=26.59
3859892365332,00014631,ARANZMAN RENA DALAS=47.99
3859892365370,00015097,ARANZMAN SANA=56.90
3859892814410,00015925,ARANZMAN SIMONA DALAS=39.99
3859892365424,00015101,ARANZMAN SNJEZA=42.29
3859892365271,00014634,ARANZMAN SUNCE DALAS=55.99
3859892365202,00014629,ARANZMAN SUZA DALAS=44.90
3859892365523,00015103,ARANZMAN SVEN=46.89
3859892365912,00015478,ARANZMAN SIBA 58=4.99
3859892365318,00014626,ARANZMAN TEA DALAS=32.99
3859892365363,00015105,ARANZMAN TENA=68.79
3859892365585,00014636,ARANZMAN TIN DALAS=67.99
3859892365226,00014624,ARANZMAN UNA DALAS=23.99
3859892814984,00015525,ARANZMAN VALENTINOVO IV 114=30.90
3859892814991,00015526,ARANZMAN VALENTINOVO V 115=24.99
3859892365967,00015477,ARANZMAN VIJENCIC II=42.90
3859892365301,00014625,ARANZMAN ZARA DALAS=23.99
5907707051043,20001400,AROMA BADEM BOCICA DR.OETKER=5.99
5907707051081,20001402,AROMA LIMUN BOCICA DR.OETKER=5.99
5907707051067,20001401,AROMA RUM BOCICA DR.OETKER=8.68
3858884223667,50004231,AROMA SET I 809-300 NOVOR=15.99
5907707051029,20001399,AROMA VANILIJA BOCICA DR.OETKER=7.30
3859888333062,20000750,AROMA ZA DOMACINSTVO BANANA AROMA=7.99
3859888333185,20000751,AROMA ZA DOMACINSTVO BOROVNICA AR=7.99
3859888333154,20000752,AROMA ZA DOMACINSTVO BRESKVA AROM=7.99
3859888333086,20000705,AROMA ZA DOMACINSTVO COKOLADA ARO=7.99
3859888333031,20000078,AROMA ZA DOMACINSTVO JAGODA AROMA=7.99
3859888333123,20000753,AROMA ZA DOMACINSTVO KIVI AROMAR=6.87
3859888333055,20000713,AROMA ZA DOMACINSTVO KRUSKOVAC AR=7.99
3859888333116,20000707,AROMA ZA DOMACINSTVO LIMUN AROMAR=7.99
3859888333048,20000706,AROMA ZA DOMACINSTVO MALINA AROMA=7.99
3859888333178,20000704,AROMA ZA DOMACINSTVO MARELICA ARO=6.87
3859888333093,20000711,AROMA ZA DOMACINSTVO MENTA AROMAR=7.99
3859888333109,20000709,AROMA ZA DOMACINSTVO NARANCA AROM=7.99
3859888333017,20000710,AROMA ZA DOMACINSTVO RUM AROMAR=7.99
3859888333024,20000712,AROMA ZA DOMACINSTVO VANILIJA ARO=7.99
3859888333079,20000708,AROMA ZA DOMACINSTVO VISNJA AROMA=7.99
3856007902963,40003817,ASEPSOLETA LIQUID 85ML ATLANTIC=15.56
3858881448407,50003761,ASPIRATOR DUPLI NIVETA=16.29
3838717160956,60000297,ASOV MUTA HERKULES 130=79.90
3858881440715,50000706,AUTO KOMPLET.725 NIVETA=51.65
3858882680561,50011572,AUTO SET U PVC KUTIJI 6/1 10170 R=39.99
3859888110335,40001179,AUTO-FAN ZA VJETROBRANE 1/1 METEO=14.29
3859888386952,40004078,AUTO-FAN ZA VJETROBRANE 5000ML ME=47.99
5902062051226,60007114,AUTOISPITIVAC NAPONA 39D081 LIKOS=15.20
6903122006179,80015842,AUTOOSIGURACI SET 12/1 YWF2-14021=7.99
8591177041887,50010156,AVAN KERAMICKI 261913 ABACO=17.99
42182474,30004827,AXE SG INSTINCT 250ML PRODIS=19.04
54024328,30005475,AXE SG THAI MASSAGE 400ML PRODIS=30.46
3574660509267,30005343,BABY JOHN.GEL ZA TUSIRANJE AWAKEN=19.23
3574660509427,30005344,BABY JOHN.GEL ZA TUSIRANJE ESCAPE=19.16
3574660509021,30005341,BABY JOHN.GEL ZA TUSIRANJE IMAGIN=19.16
3574660508666,30005342,BABY JOSN.GEL ZA TUS REVIVE 400MG=19.23
4062300061088,40003676,BABY VLAZNE MARAMICE HIPP BABSAN=51.81
5011321489523,30004727,BAD KREMA ZA UCVRSC.NATURIDEE 47G=35.61
3859888163195,00004670,BADEM 100 GR SAFRAM=13.99
3859890587309,00012169,BADEM 100GR MARJAN VOCE=15.49
3859891427321,00012486,BADEM USECERENI 100GR MARJAN VOCE=15.79
3859891427369,00012846,BADEM USECERENI 400G MARJAN VOCE=29.99
